fips,county,state,country,population
0,0,0,US,329466283
1,0,Alabama,US,4903185
2,0,Alaska,US,731545
4,0,Arizona,US,7278717
5,0,Arkansas,US,3017804
6,0,California,US,39512223
8,0,Colorado,US,5758736
9,0,Connecticut,US,3565287
10,0,Delaware,US,973764
11,0,District of Columbia,US,705749
12,0,Florida,US,21477737
13,0,Georgia,US,10617423
15,0,Hawaii,US,1415872
16,0,Idaho,US,1787065
17,0,Illinois,US,12671821
18,0,Indiana,US,6732219
19,0,Iowa,US,3155070
20,0,Kansas,US,2913314
21,0,Kentucky,US,4467673
22,0,Louisiana,US,4648794
23,0,Maine,US,1344212
24,0,Maryland,US,6045680
25,0,Massachusetts,US,6892503
26,0,Michigan,US,9986857
27,0,Minnesota,US,5639632
28,0,Mississippi,US,2976149
29,0,Missouri,US,6137428
30,0,Montana,US,1068778
31,0,Nebraska,US,1934408
32,0,Nevada,US,3080156
33,0,New Hampshire,US,1359711
34,0,New Jersey,US,8882190
35,0,New Mexico,US,2096829
36,0,New York,US,19453561
37,0,North Carolina,US,10488084
38,0,North Dakota,US,762062
39,0,Ohio,US,11689100
40,0,Oklahoma,US,3956971
41,0,Oregon,US,4217737
42,0,Pennsylvania,US,12801989
44,0,Rhode Island,US,1059361
45,0,South Carolina,US,5148714
46,0,South Dakota,US,884659
47,0,Tennessee,US,6829174
48,0,Texas,US,28995881
49,0,Utah,US,3205958
50,0,Vermont,US,623989
51,0,Virginia,US,8535519
53,0,Washington,US,7614893
54,0,West Virginia,US,1792147
55,0,Wisconsin,US,5822434
56,0,Wyoming,US,578759
60,0,American Samoa,US,55641
66,0,Guam,US,164229
69,0,Northern Mariana Islands,US,55144
72,0,Puerto Rico,US,3193694
78,0,Virgin Islands,US,107268
1001,Autauga,Alabama,US,55869
1003,Baldwin,Alabama,US,223234
1005,Barbour,Alabama,US,24686
1007,Bibb,Alabama,US,22394
1009,Blount,Alabama,US,57826
1011,Bullock,Alabama,US,10101
1013,Butler,Alabama,US,19448
1015,Calhoun,Alabama,US,113605
1017,Chambers,Alabama,US,33254
1019,Cherokee,Alabama,US,26196
1021,Chilton,Alabama,US,44428
1023,Choctaw,Alabama,US,12589
1025,Clarke,Alabama,US,23622
1027,Clay,Alabama,US,13235
1029,Cleburne,Alabama,US,14910
1031,Coffee,Alabama,US,52342
1033,Colbert,Alabama,US,55241
1035,Conecuh,Alabama,US,12067
1037,Coosa,Alabama,US,10663
1039,Covington,Alabama,US,37049
1041,Crenshaw,Alabama,US,13772
1043,Cullman,Alabama,US,83768
1045,Dale,Alabama,US,49172
1047,Dallas,Alabama,US,37196
1049,DeKalb,Alabama,US,71513
1051,Elmore,Alabama,US,81209
1053,Escambia,Alabama,US,36633
1055,Etowah,Alabama,US,102268
1057,Fayette,Alabama,US,16302
1059,Franklin,Alabama,US,31362
1061,Geneva,Alabama,US,26271
1063,Greene,Alabama,US,8111
1065,Hale,Alabama,US,14651
1067,Henry,Alabama,US,17205
1069,Houston,Alabama,US,105882
1071,Jackson,Alabama,US,51626
1073,Jefferson,Alabama,US,658573
1075,Lamar,Alabama,US,13805
1077,Lauderdale,Alabama,US,92729
1079,Lawrence,Alabama,US,32924
1081,Lee,Alabama,US,164542
1083,Limestone,Alabama,US,98915
1085,Lowndes,Alabama,US,9726
1087,Macon,Alabama,US,18068
1089,Madison,Alabama,US,372909
1091,Marengo,Alabama,US,18863
1093,Marion,Alabama,US,29709
1095,Marshall,Alabama,US,96774
1097,Mobile,Alabama,US,413210
1099,Monroe,Alabama,US,20733
1101,Montgomery,Alabama,US,226486
1103,Morgan,Alabama,US,119679
1105,Perry,Alabama,US,8923
1107,Pickens,Alabama,US,19930
1109,Pike,Alabama,US,33114
1111,Randolph,Alabama,US,22722
1113,Russell,Alabama,US,57961
1115,St. Clair,Alabama,US,89512
1117,Shelby,Alabama,US,217702
